satPRN,GPS time,Sat.X,Sat.Y,Sat.Z,pseudorange,cn0
G08,3170.3481529899873,24971470.29032238,4743819.793200098,8314492.267587179,21184827.331440542,37.5
G10,3186.3425867800834,-1489113.7496615192,17246428.91034127,20254757.37630932,22815118.990057472,33.4
G21,3170.346365444013,15731024.251216784,1730932.4992774883,21883256.338670254,21723028.345170494,40.3
G27,3170.344697177061,23122872.332221307,13299108.232443621,-2824432.2901298334,22179464.247359652,37.5
G28,3170.3391564630438,5183488.506315157,25796011.779072378,-3653928.0304609914,23785515.458958868,38.7
G32,3170.3470967140747,7939374.819318021,17901674.08703042,18244655.756008435,21280331.292020205,38.8
G02,3171.3422684700927,14605953.240795469,-5040791.05471331,22067439.99437645,22776989.174459543,38.0
G03,3171.3385633539874,23162620.52773385,-12086866.530379768,4249430.583511134,24116384.113540653,32.1
G08,3171.348152267048,24972334.180551745,4744481.848388836,8311599.419638282,21185044.07009768,34.4
G10,3187.3425854790257,-1491267.058949167,17247759.478638817,20253421.602334123,22815509.036029257,34.9
G21,3171.3463664540322,15731453.00654093,1733558.5347256484,21882828.808352787,21722725.548515122,38.8
G27,3171.3446952369995,23122482.124919564,13299182.428463431,-2827557.2155034267,22180045.86243527,41.1
G28,3171.339158019051,5183261.373786915,25796499.233417958,-3650795.913413609,23785048.975205276,37.5
G32,3171.3470957570244,7937269.244930052,17900823.08651585,18246407.492022447,21280618.20836395,40.7
G02,3172.342269988032,14606396.185389085,-5038140.256045006,22067786.41671437,22776534.10962403,37.0
G03,3172.338564967038,23162276.17721335,-12086375.622380747,4252604.024224063,24115900.53948008,32.5
G08,3172.348151565995,24973197.77969822,4745143.703971268,8308706.398378658,21185254.247472957,35.9
G10,3188.3425841489807,-1493420.1506273309,17249090.089236636,20252085.40158676,22815907.77220948,36.1
G21,3172.3463674670784,15731881.910214739,1736184.481782427,21882400.83520668,21722421.844448425,35.0
G27,3172.34469329298,23122091.573798046,13299256.477443751,-2830682.082449127,22180628.664125692,38.9
G28,3172.339159583091,5183034.22965442,25796986.309475694,-3647663.7186882216,23784580.08332164,41.5
G32,3172.3470948110335,7935163.423631662,17899972.116186023,18248158.84871117,21280901.809166327,40.4
G02,3173.342271603062,14606839.296559013,-5035489.445824208,22068132.389168005,22776049.93782533,35.0
G03,3173.338566531078,23161931.52364238,-12085884.46864808,4255777.37336158,24115431.658502843,31.8
G08,3173.348150887061,24974061.087720957,4745805.359979714,8305813.203868389,21185457.79376549,38.3
G10,3189.342582866084,-1495573.0248196665,17250420.74218197,20250748.773992013,22816292.37371333,38.2
G21,3173.346368530998,15732310.962241994,1738810.3405127046,21881972.419223595,21722102.88889142,33.5
G27,3173.344691407052,23121700.678818546,13299330.379439233,-2833806.891096464,22181194.05049881,37.3
G28,3173.339161160984,5182807.073864477,25797473.00724229,-3644531.4463332207,23784107.03828618,42.2
G32,3173.3470938690007,7933057.355474656,17899121.17609624,18249909.82602577,21281184.223353896,40.6
G02,3174.342273043003,14607282.57418051,-5032838.624837059,22068477.911637597,22775618.256281585,33.8
G03,3174.3385679679923,23161586.567088503,-12085393.069183439,4258950.630607449,24115000.88880115,33.5
G08,3174.348150181002,24974924.104536325,4746466.81641433,8302919.836310746,21185669.471859485,41.6
G10,3190.342581577017,-1497725.6813711077,17251751.43734978,20249411.71964768,22816678.82494026,43.5
