,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,SvName
249,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,08,0.0,81935,579100346854430,5,38.5,168.8660888671875,0.05711478739976883,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.99,33.5,-7861.5380859375,6.01542854309082,,,Q,338296117368853,G,G08
250,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,10,0.0,81935,579100341331712,30,21.4,357.8804931640625,6.11299991607666,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.99,16.4,-7861.5380859375,6.01542854309082,,,Q,338296117368853,G,G10
251,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,27,0.0,81935,579100343484067,5,37.7,536.688720703125,0.05554531514644623,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.99,32.7,-7861.5380859375,6.01542854309082,,,Q,338296117368853,G,G27
252,1713027082417,332300412000000,18,0.0,-1396730000005343329,-0.1614055633544922,27.088088245363906,-126.06266723140145,16.203641236922117,6,32,0.0,81935,579100345814652,12,28.8,239.64028930664065,0.9389999508857727,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.99,23.8,-7861.5380859375,6.01542854309082,,,Q,338296117368853,G,G32
269,1713027083417,332301412000000,18,0.0,-1396730000005343459,-0.8147869110107422,25.643446861067787,-128.0940255415525,15.339601067212971,6,02,0.0,16399,579101340804506,9,45.3,-502.3953247070313,0.048809196799993515,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,40.3,0.0,0.0,,,C,338297112830206,G,G02
270,1713027083417,332301412000000,18,0.0,-1396730000005343459,-0.8147869110107422,25.643446861067787,-128.0940255415525,15.339601067212971,6,03,0.0,16399,579101337099847,10,44.1,-501.1844177246094,0.023899104446172714,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,39.1,0.0,0.0,,,C,338297112830206,G,G03
271,1713027083417,332301412000000,18,0.0,-1396730000005343459,-0.8147869110107422,25.643446861067787,-128.0940255415525,15.339601067212971,6,08,0.0,16399,579101346846023,6,49.4,169.46388244628906,0.037792082875967026,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,44.4,0.0,0.0,,,C,338297112830206,G,G08
272,1713027083417,332301412000000,18,0.0,-1396730000005343459,-0.8147869110107422,25.643446861067787,-128.0940255415525,15.339601067212971,6,10,0.0,16399,579101341322712,24,35.7,358.9184265136719,1.8306463956832886,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,30.700000000000003,0.0,0.0,,,C,338297112830206,G,G10
273,1713027083417,332301412000000,18,0.0,-1396730000005343459,-0.8147869110107422,25.643446861067787,-128.0940255415525,15.339601067212971,6,21,0.0,16399,579101344939375,9,45.8,-345.2157897949219,0.042809195816516876,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,40.8,0.0,0.0,,,C,338297112830206,G,G21
274,1713027083417,332301412000000,18,0.0,-1396730000005343459,-0.8147869110107422,25.643446861067787,-128.0940255415525,15.339601067212971,6,27,0.0,16399,579101343474424,8,46.5,537.2451171875,0.04370025545358658,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.2,41.5,0.0,0.0,,,C,338297112830206,G,G27
